sample_idx,caption,relation,relation_token_entropy,relation_token_dispersion,entity1_token_entropy,entity1_token_dispersion,entity2_token_entropy,entity2_token_dispersion,entity1_self_attn_entropy,entity1_self_attn_dispersion,entity2_self_attn_entropy,entity2_self_attn_dispersion,caption_type,original_caption
1,a pentagon is to the right of an ellipse .,right,6.29296875,98.375,6.3359375,95.0,6.28515625,98.3125,4.875,69.5,4.6875,65.5,complex,
3,a red triangle is to the left of a blue semicircle .,left,6.296875,97.875,6.34765625,92.3125,6.34765625,92.375,4.75,58.75,4.78125,74.0,complex,
4,a triangle is to the right of an ellipse .,right,6.27734375,96.875,6.33203125,91.75,6.33203125,97.8125,4.65625,66.0,5.0625,92.5,complex,
9,a cross is to the right of a semicircle .,right,6.32421875,94.8125,6.3359375,95.375,6.33984375,92.5625,4.78125,83.0,4.6875,77.0,complex,
10,a cross is to the right of a rectangle .,right,6.24609375,98.625,6.34765625,93.5625,6.29296875,96.3125,4.71875,57.5,4.78125,58.0,complex,
11,a blue circle is to the right of a semicircle .,right,6.32421875,93.25,6.328125,95.6875,6.3359375,96.9375,5.0,85.0,4.59375,93.5,complex,
25,a blue semicircle is to the right of a yellow cross .,right,6.31640625,94.875,6.3359375,97.5,6.34765625,94.5,4.84375,70.0,4.875,81.5,complex,
26,a gray cross is to the right of a green semicircle .,right,6.328125,94.1875,6.34375,91.6875,6.33984375,93.0,4.625,82.0,4.78125,87.5,complex,
27,a magenta shape is to the left of a green shape .,left,6.328125,95.25,6.34375,96.5,6.34375,96.5,4.71875,60.25,4.8125,58.0,complex,
29,a blue ellipse is to the right of a yellow square .,right,6.2890625,94.625,6.3515625,93.8125,6.25,100.8125,4.75,100.5,4.53125,83.5,complex,
31,a gray shape is to the left of a magenta semicircle .,left,6.29296875,97.5625,6.30078125,99.6875,6.30078125,102.9375,4.6875,76.5,4.90625,61.0,complex,
33,a gray shape is to the right of a yellow shape .,right,6.3125,99.125,6.34765625,92.75,6.33203125,97.3125,4.6875,59.75,4.78125,65.5,complex,
37,a red semicircle is to the left of a magenta shape .,left,6.2890625,95.8125,6.32421875,101.0625,6.34375,91.4375,4.9375,88.0,4.8125,67.5,complex,
38,a gray shape is to the left of a square .,left,6.30078125,99.25,6.29296875,99.5625,6.32421875,97.3125,5.0,60.25,4.875,59.75,complex,
40,a red semicircle is to the left of a red shape .,left,6.3125,95.125,6.34375,95.1875,6.34765625,98.75,5.125,82.0,4.90625,81.5,complex,
49,a magenta pentagon is to the left of a magenta circle .,left,6.3125,97.6875,6.3515625,92.6875,6.30078125,102.9375,4.6875,80.5,4.78125,88.5,complex,
